[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
64 80 7 8 4 0 100 29.928 3.448
64 80 8 9 4 0 100 29.941 3.398
64 80 9 10 4 0 100 29.862 3.407
64 80 10 11 4 0 100 31.012 3.327
64 80 11 12 4 0 100 30.914 3.349
64 80 12 13 4 0 100 31.372 3.332
64 80 13 14 4 0 100 31.861 3.299
64 80 14 15 4 0 100 33.248 3.276
64 80 15 16 4 0 100 33.302 3.284
64 80 16 17 4 0 100 32.558 3.238
64 80 17 18 4 0 100 32.554 3.246
64 80 18 19 4 0 100 34.851 3.227
64 80 19 20 4 0 100 36.362 3.203
64 80 20 21 4 0 100 35.127 3.196
64 80 21 22 4 0 100 35.220 3.149
64 80 22 23 4 0 100 36.167 3.139
64 80 23 24 4 0 100 36.659 3.148
64 80 24 25 4 0 100 36.707 3.131
64 80 25 26 4 0 100 37.247 3.136
64 80 26 27 4 0 100 36.813 3.097
64 80 27 28 4 0 100 42.089 3.092
64 80 28 29 4 0 100 39.236 3.010
64 80 29 30 4 0 100 52.364 3.068
64 80 30 31 4 0 100 49.696 3.049
64 80 31 32 4 0 100 54.716 3.094
64 80 32 33 4 0 100 64.619 3.069
64 80 33 34 4 0 100 54.765 2.998
64 80 34 35 4 0 100 54.591 2.942
64 80 35 36 4 0 100 54.163 2.897
64 80 36 37 4 0 100 78.100 2.963
64 80 37 38 4 0 100 79.847 2.999
64 80 38 39 4 0 100 100.000 2.790
64 80 39 40 4 0 100 100.000 3.063
64 80 40 41 4 0 100 6.206 95.096
64 80 41 42 4 0 100 8.995 94.308
64 80 42 43 4 0 100 18.432 57.095
64 80 43 44 4 0 100 12.741 64.667
64 80 44 45 4 0 100 7.343 100.000
80 101 0 1 4 0 100 99.607 21.323
80 101 1 2 4 0 100 100.000 4.169
80 101 2 3 4 0 100 43.742 3.727
80 101 3 4 4 0 100 31.658 3.663
80 101 4 5 4 0 100 31.342 3.689
80 101 5 6 4 0 100 31.282 3.666
80 101 6 7 4 0 100 30.323 3.599
80 101 7 8 4 0 100 29.836 3.602
80 101 8 9 4 0 100 29.098 3.549
80 101 9 10 4 0 100 30.715 3.530
80 101 10 11 4 0 100 29.899 3.502
80 101 11 12 4 0 100 31.868 3.500
80 101 12 13 4 0 100 31.749 3.470
80 101 13 14 4 0 100 31.642 3.449
80 101 14 15 4 0 100 32.435 3.447
80 101 15 16 4 0 100 32.952 3.401
80 101 16 17 4 0 100 33.344 3.386
80 101 17 18 4 0 100 34.404 3.371
80 101 18 19 4 0 100 32.615 3.373
80 101 19 20 4 0 100 35.062 3.383
80 101 20 21 4 0 100 36.554 3.331
80 101 21 22 4 0 100 35.216 3.328
80 101 22 23 4 0 100 34.499 3.321
80 101 23 24 4 0 100 36.879 3.282
80 101 24 25 4 0 100 37.089 3.250
80 101 25 26 4 0 100 36.730 3.220
80 101 26 27 4 0 100 43.132 3.255
80 101 27 28 4 0 100 50.654 3.250
80 101 28 29 4 0 100 43.231 3.222
80 101 29 30 4 0 100 50.808 3.188
80 101 30 31 4 0 100 46.200 3.151
80 101 31 32 4 0 100 56.127 3.230
80 101 32 33 4 0 100 60.038 3.120
80 101 33 34 4 0 100 58.221 2.988
80 101 34 35 4 0 100 100.000 3.198
80 101 35 36 4 0 100 100.000 3.218
80 101 36 37 4 0 100 80.791 3.039
80 101 37 38 4 0 100 100.000 3.333
80 101 38 39 4 0 100 100.000 3.480
80 101 39 40 4 0 100 9.887 64.112
80 101 40 41 4 0 100 8.804 71.941
80 101 41 42 4 0 100 9.780 75.260
80 101 42 43 4 0 100 13.421 55.406
80 101 43 44 4 0 100 53.853 70.621
101 127 1 2 4 0 100 4.088 99.998
101 127 2 3 4 0 100 64.545 3.711
101 127 3 4 4 0 100 32.879 3.822
101 127 4 5 4 0 100 33.721 3.821
101 127 5 6 4 0 100 31.888 3.797
101 127 6 7 4 0 100 32.399 3.741
101 127 7 8 4 0 100 33.117 3.719
101 127 8 9 4 0 100 30.395 3.679
101 127 9 10 4 0 100 30.039 3.665
101 127 10 11 4 0 100 30.441 3.643
101 127 11 12 4 0 100 32.067 3.664
101 127 12 13 4 0 100 33.463 3.615
101 127 13 14 4 0 100 32.115 3.607
101 127 14 15 4 0 100 33.476 3.598
