[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
101 127 19 20 4 0 100 14.729 10.640
101 127 20 21 4 0 100 16.184 10.792
101 127 21 22 4 0 100 17.705 11.054
101 127 22 23 4 0 100 18.739 11.350
101 127 23 24 4 0 100 19.197 11.287
101 127 24 25 4 0 100 18.898 11.425
101 127 25 26 4 0 100 19.579 11.941
101 127 26 27 4 0 100 20.175 12.110
101 127 27 28 4 0 100 19.453 12.337
101 127 28 29 4 0 100 26.122 11.982
101 127 29 30 4 0 100 24.896 12.339
101 127 30 31 4 0 100 23.902 12.967
101 127 31 32 4 0 100 32.165 12.495
101 127 32 33 4 0 100 47.753 13.429
101 127 33 34 4 0 100 27.614 13.280
101 127 34 35 4 0 100 33.002 12.485
101 127 35 36 4 0 100 49.505 12.722
101 127 36 37 4 0 100 50.000 12.613
101 127 37 38 4 0 100 43.358 12.440
101 127 38 39 4 0 100 50.000 12.898
101 127 39 40 4 0 100 50.000 14.850
101 127 40 41 4 0 100 50.000 14.005
101 127 41 42 4 0 100 50.000 13.208
101 127 42 43 4 0 100 50.000 15.482
101 127 43 44 4 0 100 50.000 16.745
101 127 44 45 4 0 100 1.559 100.000
127 159 1 2 4 0 100 14.618 5.960
127 159 2 3 4 0 100 12.459 7.062
127 159 3 4 4 0 100 16.555 7.646
127 159 4 5 4 0 100 10.872 7.695
127 159 5 6 4 0 100 11.734 7.860
127 159 6 7 4 0 100 12.428 8.317
127 159 7 8 4 0 100 11.392 8.536
127 159 8 9 4 0 100 11.224 8.805
127 159 9 10 4 0 100 11.940 8.805
127 159 10 11 4 0 100 12.930 9.199
127 159 11 12 4 0 100 13.072 9.444
127 159 12 13 4 0 100 12.840 9.536
127 159 13 14 4 0 100 13.887 9.860
127 159 14 15 4 0 100 14.518 10.024
127 159 15 16 4 0 100 15.297 10.330
127 159 16 17 4 0 100 15.253 10.375
127 159 17 18 4 0 100 16.596 10.670
127 159 18 19 4 0 100 16.561 10.764
127 159 19 20 4 0 100 17.372 11.007
127 159 20 21 4 0 100 17.934 11.266
127 159 21 22 4 0 100 15.211 11.133
127 159 22 23 4 0 100 18.035 11.717
127 159 23 24 4 0 100 19.316 11.804
127 159 24 25 4 0 100 20.602 12.033
127 159 25 26 4 0 100 21.206 11.994
127 159 26 27 4 0 100 25.722 12.421
127 159 27 28 4 0 100 26.465 12.691
127 159 28 29 4 0 100 30.720 12.055
127 159 29 30 4 0 100 25.558 12.348
127 159 30 31 4 0 100 32.041 12.617
127 159 31 32 4 0 100 29.944 12.386
127 159 32 33 4 0 100 44.634 13.122
127 159 33 34 4 0 100 42.031 14.147
127 159 34 35 4 0 100 50.000 12.747
127 159 35 36 4 0 100 48.516 13.766
127 159 37 38 4 0 100 50.000 12.375
127 159 38 39 4 0 100 50.000 13.210
127 159 39 40 4 0 100 50.000 13.414
127 159 43 44 4 0 100 1.519 100.000
127 159 44 45 4 0 100 1.525 100.000
159 201 1 2 4 0 100 32.323 6.355
159 201 2 3 4 0 100 23.841 7.032
159 201 3 4 4 0 100 12.445 7.199
159 201 4 5 4 0 100 16.357 7.862
159 201 5 6 4 0 100 15.571 7.898
159 201 6 7 4 0 100 15.433 8.092
159 201 7 8 4 0 100 12.814 8.713
159 201 8 9 4 0 100 11.833 8.946
159 201 9 10 4 0 100 15.467 9.075
159 201 10 11 4 0 100 14.072 9.324
159 201 11 12 4 0 100 13.479 9.356
159 201 12 13 4 0 100 16.501 9.664
159 201 13 14 4 0 100 14.639 9.841
159 201 14 15 4 0 100 14.752 9.978
159 201 15 16 4 0 100 15.433 10.513
159 201 16 17 4 0 100 18.304 10.770
159 201 17 18 4 0 100 18.215 11.045
159 201 18 19 4 0 100 16.214 11.099
159 201 19 20 4 0 100 22.404 11.158
159 201 20 21 4 0 100 18.768 11.617
159 201 21 22 4 0 100 21.326 11.640
159 201 22 23 4 0 100 20.518 11.066
159 201 23 24 4 0 100 22.261 12.103
159 201 24 25 4 0 100 30.467 11.659
159 201 25 26 4 0 100 39.537 12.508
159 201 26 27 4 0 100 28.673 12.792
159 201 27 28 4 0 100 49.578 12.806
159 201 28 29 4 0 100 50.000 12.401
159 201 29 30 4 0 100 35.796 12.881
159 201 30 31 4 0 100 46.456 12.516
159 201 31 32 4 0 100 50.000 12.884
159 201 32 33 4 0 100 48.839 11.780
159 201 33 34 4 0 100 50.000 13.986
159 201 34 35 4 0 100 50.000 13.634
159 201 35 36 4 0 100 50.000 12.933
201 252 4 5 4 0 100 24.331 6.835
201 252 5 6 4 0 100 23.171 7.425
201 252 6 7 4 0 100 16.995 8.172
201 252 7 8 4 0 100 15.256 8.342
201 252 8 9 4 0 100 22.415 9.222
201 252 9 10 4 0 100 16.644 9.105
201 252 10 11 4 0 100 17.731 9.242
201 252 11 12 4 0 100 22.072 9.203
201 252 12 13 4 0 100 23.013 9.816
201 252 13 14 4 0 100 33.265 9.524
201 252 14 15 4 0 100 26.801 9.677
201 252 15 16 4 0 100 26.855 10.697
201 252 16 17 4 0 100 37.038 10.263
201 252 17 18 4 0 100 25.920 10.605
201 252 18 19 4 0 100 24.371 10.835
201 252 19 20 4 0 100 39.132 11.025
201 252 20 21 4 0 100 30.869 11.172
201 252 21 22 4 0 100 39.637 11.534
201 252 22 23 4 0 100 31.284 11.752
201 252 23 24 4 0 100 35.250 11.878
201 252 24 25 4 0 100 50.000 13.609
201 252 25 26 4 0 100 50.000 11.939
201 252 26 27 4 0 100 45.107 11.992
201 252 27 28 4 0 100 50.000 11.557
201 252 28 29 4 0 100 50.000 13.822
201 252 29 30 4 0 100 1.301 100.000
201 252 34 35 4 0 100 1.512 100.000
252 317 3 4 4 0 100 1.557 100.000
252 317 7 8 4 0 100 25.585 8.473
252 317 9 10 4 0 100 50.000 9.476
252 317 10 11 4 0 100 50.000 9.100
252 317 12 13 4 0 100 31.469 9.988
252 317 17 18 4 0 100 50.000 11.330
252 317 22 23 4 0 100 1.373 100.000
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_gluon}
20 26 0 1 4 0 100 10.977 4.381
20 26 1 2 4 0 100 29.277 5.221
20 26 2 3 4 0 100 11.628 5.227
20 26 3 4 4 0 100 10.983 5.120
20 26 4 5 4 0 100 12.880 5.544
20 26 5 6 4 0 100 14.084 5.713
20 26 6 7 4 0 100 13.703 5.909
20 26 7 8 4 0 100 13.713 6.052
20 26 8 9 4 0 100 13.863 6.258
20 26 9 10 4 0 100 13.527 6.467
20 26 10 11 4 0 100 14.139 6.665
20 26 11 12 4 0 100 14.359 6.874
20 26 12 13 4 0 100 14.107 7.132
20 26 13 14 4 0 100 15.158 7.345
20 26 14 15 4 0 100 15.912 7.513
20 26 15 16 4 0 100 15.723 7.761
20 26 16 17 4 0 100 15.908 8.044
20 26 17 18 4 0 100 15.928 8.323
20 26 18 19 4 0 100 17.438 8.459
20 26 19 20 4 0 100 17.182 8.807
20 26 20 21 4 0 100 17.087 8.954
20 26 21 22 4 0 100 18.647 9.220
20 26 22 23 4 0 100 19.480 9.567
